Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
1	binary_beat	['The', 'desk', 'was', 'new', 'but', 'dusty', 'and', 'covered', 'with old', 'books']	other	congruent	The desk was new?	other	y	1	1.3178141359239817
2	ternary_beat	['The', 'boss', 'that', 'the', 'clerk', 'mocked', 'had a', 'crush', 'on', 'the', 'intern']	object extracted	incongruent	The clerk had a crush?	main_clause	y	0	2.2569335169391707
3	ternary_beat	['The', 'prince', 'that helped', 'the', 'girl', 'had', 'a', 'head', 'of', 'blonde', 'hair']	subject extracted	congruent	The prince helped the girl?	relative_clause	y	1	1.4255587600637227
4	binary_beat	['The', 'box', 'was', 'made', 'from', 'wood', 'and was', 'full', 'of', 'things', 'that', 'shined']	other	congruent	The box was shiny?	other	n	1	3.279164093080908
5	ternary_beat	['The', 'frog', 'that sensed', 'the', 'cat', 'sat', 'on', 'grass', 'in', 'the', 'garden']	subject extracted	congruent	The cat sat on the grass?	main_clause	y	0	4.712196286069229
6	binary_beat	['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']	other	congruent	The coffee was before dessert?	other	y	0	3.4167156680487096
7	binary_beat	['The', 'count', 'that knew', 'the', 'queen', 'owned', 'a', 'castle', 'by the', 'lake']	subject extracted	incongruent	The queen owned a castle?	main_clause	y	0	3.0039105500327423
8	ternary_beat	['The', 'chief', 'that', 'thanked', 'the', 'girl', 'was too', 'late', 'for', 'the', 'bus']	subject extracted	incongruent	The girl was too late?	main_clause	y	0	9.692552238004282
9	binary_beat	['The', 'crook', 'that', 'warned', 'the', 'thief', 'fled the', 'town', 'the next', 'morning']	subject extracted	congruent	The crook warned the thief?	relative_clause	y	1	1.8588099910411984
10	ternary_beat	['The', 'cop', 'that the', 'spy', 'met', 'wrote', 'a', 'book', 'about', 'the', 'case']	object extracted	congruent	The cop met the spy?	relative_clause	y	0	1.6693385610124096
11	ternary_beat	['The', 'car', 'that pulled', 'the', 'truck', 'had', 'a', 'scratch', 'on', 'the', 'door']	subject extracted	congruent	The truck pulled the car?	relative_clause	n	1	1.507772295968607
12	ternary_beat	['The', 'dean', 'that', 'the', 'guard', 'heard', 'made a', 'call', 'about', 'the', 'matter']	object extracted	incongruent	The dean heard the guard?	relative_clause	n	1	4.679246135056019
13	ternary_beat	['The', 'dancer', 'that', 'liked', 'the', 'guy', 'was a', 'chef', 'in', 'the', 'city']	subject extracted	incongruent	The guy was a chef?	main_clause	n	1	5.398114620009437
14	binary_beat	['The', 'man', 'that', 'phoned', 'the', 'nurse', 'left his', 'pills', 'at the', 'office']	subject extracted	congruent	The nurse left the pills?	main_clause	n	1	3.212550253025256
